Dia,Fase,Formato,Conteúdo,CTA
1,Aquecimento,Reel + Carrossel,"Reel ""Você não é preguiçoso"" + carrossel ""5 sinais de que seu cérebro funciona diferente""",Seguir + salvar
2,Aquecimento,Reel,"""O que é o Mapeamento Dopaminérgico""",Salvar
3,Aquecimento,Reel + Stories,"""Se você já tentou 10 métodos e abandonou todos"" + enquete nos Stories",Comentar
4,Aquecimento,Carrossel,"""Por que planner, Pomodoro e bullet journal falham""",Salvar + marcar alguém
5,Aquecimento,Reel,"""Ancoragem Visual: pare de esquecer sem esforço""",Salvar
6,Aquecimento,Stories,"Interação: ""qual gatilho de distração te derruba?"" (caixinha de perguntas)",Responder
7,Aquecimento,Reel (pais),"""Seu filho não é desleixado"" — TDAH infantil",Marcar pais + salvar
8,Aquecimento,Reel,"""Micro-Ativação: o primeiro passo bobo que desbloqueia tudo""",Salvar
9,Aquecimento,Carrossel,"""O ciclo da culpa: por que você desiste no 3º dia (e como sair dele)""",Salvar
10,Aquecimento,Reel,"""Agenda Dinâmica: a rotina que se adapta à sua energia""",Salvar
11,Aquecimento,Reel,"""Hiperfoco: seu superpoder (e como usá-lo a seu favor)""",Comentar
12,Aquecimento,Stories + Reel,Bastidores: como o Mente Sob Medida foi criado,Seguir
13,Aquecimento,Reel,"Prova/história: ""Eu criei o sistema que eu precisava ter""",Seguir
14,Pré-lançamento,Reel teaser + Stories,"Teaser: ""Amanhã começa algo que vai mudar sua rotina""",Ativar notificações
15,Lançamento Ato 1,Reel + Carrossel,"""O custo de tentar e falhar"" — aprofunda a dor","Comentar ""EU QUERO"""
16,Lançamento Ato 2,Reel + Stories,Apresenta o método + ABRE VENDA (R$ 47 + 3 bônus) + link na bio,Link na bio (Hotmart)
17,Lançamento Ato 3,Reel + Stories,Urgência: última chamada 24h + bônus + garantia,Link na bio
18,Pós-lançamento,Stories + Reel,"Depoimentos + ""o que você recebe""",Link na bio
19,Pós-lançamento,Reel educacional,Conteúdo de valor + CTA suave,Salvar
20,Pós-lançamento,Carrossel,"""Para quem é / para quem não é"" (qualificação)",Link na bio
21,Pós-lançamento,Reel + Stories,Fechamento da janela + agradecimento + preço volta ao normal,Link na bio
